distance_km,delivery_time_min
56.81,28.97
142.66,66.82
110.07,54.21
90.2,42.48
24.25,14.25
24.24,12.31
9.65,15.24
130.06,63.63
90.57,43.66
106.5,53.57
4.07,6.49
145.52,69.82
125.03,63.11
32.64,21.96
28.09,16.05
28.33,16.02
46.33,25.02
79.19,33.73
65.36,29.87
44.39,29.08
92.17,51.41
21.78,14.05
44.53,26.77
55.59,30.95
68.95,45.26
117.99,61.45
30.75,18.45
77.62,37.06
89.27,40.35
7.92,9.17
91.52,43.91
26.41,12.62
10.69,7.87
142.38,65.83
144.88,75.26
121.45,62.3
46.39,25.85
15.55,16.44
102.95,51.56
66.58,32.38
19.18,18.2
74.78,40.27
6.12,4.64
136.49,65.85
39.56,20.18
99.72,45.73
47.44,29.13
78.49,46.05
82.46,37.91
28.54,19.53
145.47,68.51
116.49,55.96
140.99,66.67
134.33,62.86
90.09,45.69
138.36,64.77
14.19,12.2
30.2,18.44
7.74,7.77
49.47,24.54
58.91,29.78
41.43,25.91
124.48,62.52
54.16,26.44
42.86,24.58
81.86,44.09
22.0,9.89
120.53,60.87
12.11,8.46
148.05,73.33
116.06,54.94
30.61,13.36
1.82,2.0
122.5,60.27
106.32,53.62
109.62,51.62
115.92,59.08
12.03,5.43
54.41,29.29
18.26,9.58
129.6,61.36
93.87,47.38
50.3,25.05
10.47,8.56
47.34,29.32
49.45,25.52
109.71,56.88
96.0,44.81
133.19,66.52
71.36,41.44
18.82,6.05
107.27,50.88
114.36,58.19
84.63,42.47
115.87,58.25
74.58,36.75
78.89,40.76
64.7,33.65
4.79,10.66
17.08,13.45
5.68,8.57
95.83,46.89
47.84,25.07
76.78,38.25
136.23,67.49
38.14,20.9
62.15,33.84
113.58,62.34
35.09,23.4
12.47,9.63
44.17,28.48
25.02,15.03
139.52,61.67
121.41,56.61
95.38,42.31
130.85,62.83
120.75,59.39
28.8,22.99
133.99,66.28
81.36,40.95
121.31,62.08
134.52,58.9
48.38,27.48
17.4,15.14
34.96,16.3
64.64,37.52
122.88,61.31
129.25,61.92
2.04,7.82
77.1,46.51
63.19,33.98
34.09,21.09
18.86,12.11
51.3,25.54
141.49,71.16
49.16,24.55
78.3,40.45
105.75,51.15
55.18,31.27
145.8,71.61
144.4,73.09
38.52,20.8
75.09,37.98
45.83,22.69
43.44,23.22
6.5,9.06
91.83,48.59
75.9,36.39
8.67,11.51
42.52,28.2
136.33,67.59
36.69,27.14
22.59,12.84
73.93,34.53
147.86,66.2
37.07,26.17
101.15,52.48
114.48,56.35
36.41,22.22
109.5,50.9
55.8,37.45
95.21,48.23
95.4,48.26
80.83,43.55
14.45,12.95
125.46,62.13
48.8,24.59
28.79,19.37
7.08,13.83
89.04,49.1
101.96,55.66
3.47,5.03
77.3,36.82
34.75,20.26
97.13,48.88
26.98,20.42
103.95,46.7
58.62,35.97
140.57,67.78
21.49,13.39
51.82,25.28
17.91,8.09
138.78,69.92
131.72,64.49
39.43,18.87
99.34,45.82
122.77,59.24
83.72,47.68
79.92,40.19
37.04,17.16
14.87,10.95
134.69,64.79
135.16,57.73
95.33,47.74
51.52,27.49
53.03,30.95
109.17,59.67
134.67,68.98
133.18,64.12
117.2,54.42
96.66,56.22
13.54,11.27
25.08,16.33
134.88,65.62
91.36,46.71
2.37,5.63
16.12,10.53
99.86,48.3
1.75,5.69
24.96,14.6
82.76,40.1
104.09,52.16
98.14,48.4
34.42,25.0
107.11,45.25
36.35,24.63
49.48,31.0
112.23,49.28
97.8,47.98
127.53,61.27
98.98,45.32
85.68,41.22
14.96,8.4
55.79,35.36
40.52,26.04
37.35,25.62
145.98,72.86
59.57,28.42
133.91,63.69
95.04,49.24
119.43,55.08
75.89,41.29
86.96,43.41
74.39,37.35
30.09,20.67
108.65,55.23
42.84,23.2
4.62,10.56
97.18,45.49
27.39,19.17
141.13,70.29
143.14,68.48
137.31,67.77
56.15,26.51
3.3,9.26
139.32,67.14
64.8,32.59
145.03,73.41
144.58,67.95
128.1,58.42
44.87,20.52
58.38,33.09
127.82,58.68
48.22,31.96
26.25,10.57
83.96,47.87
140.49,68.85
104.71,51.83
85.94,42.04
15.48,13.16
92.64,46.58
148.52,75.14
21.87,15.18
78.23,40.65
131.73,63.19
111.37,54.95
104.86,53.11
105.67,47.42
54.56,25.51
44.75,27.37
121.59,60.23
121.71,59.22
130.19,63.64
137.07,67.72
77.19,38.12
75.73,36.74
119.95,59.57
97.84,46.09
105.59,53.74
119.57,53.7
133.61,68.21
51.36,29.53
56.96,31.4
15.0,14.7
87.16,49.22
6.36,10.91
70.37,31.14
81.85,37.99
43.69,22.79
89.03,45.14
5.54,9.05
