tenure_months,churn
11.6,1
38.8,0
28.6,0
22.9,1
21.9,0
47.6,0
54.4,0
11.5,1
39.5,0
18.6,1
58.1,0
55.3,0
38.5,0
45.4,0
31.4,0
49.7,0
27.5,1
21.0,0
17.4,1
14.4,1
32.0,0
26.4,0
40.1,0
1.8,1
27.4,0
22.5,0
12.5,1
36.1,0
26.7,0
18.7,1
13.4,1
52.6,0
48.1,0
36.8,0
21.4,0
56.9,0
34.2,0
26.5,0
54.1,0
19.8,1
42.1,0
19.5,1
16.4,1
42.3,1
14.4,1
30.1,0
35.2,0
12.1,1
44.1,0
33.4,1
37.7,0
23.0,0
25.8,1
30.2,0
28.7,0
40.9,0
35.1,0
25.6,0
1.1,0
47.8,0
31.6,0
20.3,1
30.5,0
6.5,1
54.4,0
59.4,1
4.5,1
22.1,0
44.1,0
19.5,1
34.5,0
25.6,0
46.7,0
57.5,0
53.4,0
37.6,1
10.5,1
56.9,0
2.4,1
18.6,1
17.6,1
40.6,0
29.8,0
6.5,1
1.8,1
36.7,0
30.0,0
36.5,0
34.3,0
53.5,0
55.2,0
12.1,1
56.6,0
47.5,0
38.7,0
39.9,0
33.2,0
55.1,0
14.8,1
36.4,0
49.0,0
9.0,1
37.3,0
24.8,1
46.2,0
5.0,1
36.8,0
51.6,0
38.1,0
20.0,1
39.7,1
21.0,0
40.4,1
8.6,0
17.5,1
2.9,1
6.0,1
33.7,0
14.7,1
31.4,1
39.9,0
53.0,0
21.9,0
19.8,0
19.5,0
8.0,1
40.1,0
49.4,0
28.9,0
33.9,0
57.6,0
42.2,0
45.0,0
53.5,1
13.7,1
39.4,0
43.3,0
50.7,0
21.3,0
41.6,0
36.7,0
25.2,1
7.0,1
21.8,1
57.8,0
13.8,1
7.7,1
22.7,1
7.0,1
16.8,0
55.0,0
19.8,1
35.6,0
15.1,1
40.4,1
8.5,1
47.6,0
26.0,0
11.8,0
45.7,0
33.7,0
26.9,0
15.2,1
47.1,0
22.6,0
3.5,1
58.0,0
2.8,0
8.1,1
28.5,0
13.3,0
20.8,0
34.5,0
57.5,0
56.2,0
5.4,1
51.3,0
10.9,1
48.9,0
18.5,0
43.4,0
43.4,0
51.2,0
58.8,0
17.3,1
38.1,0
44.6,0
5.7,0
40.1,1
20.0,1
10.5,1
33.4,0
28.3,0
35.0,1
38.9,0
30.4,0
54.4,0
11.5,1
18.0,1
22.0,1
46.7,0
39.5,0
13.2,1
44.9,0
46.5,0
46.4,0
5.6,1
13.5,0
53.8,0
52.9,0
13.1,1
33.5,0
16.5,0
25.6,1
2.2,1
17.6,1
17.0,0
55.2,0
35.7,1
11.5,0
26.2,1
30.1,0
38.6,1
32.4,0
25.8,1
19.3,1
34.9,0
58.6,0
33.6,0
53.3,0
1.9,0
13.0,1
52.0,0
34.6,1
29.8,1
22.8,1
18.4,0
41.1,1
22.6,0
26.7,0
46.8,0
56.8,0
59.6,0
29.6,1
9.2,1
2.5,1
30.2,0
5.5,1
7.9,1
14.9,1
59.5,0
10.6,0
7.5,1
55.0,0
37.7,0
44.7,0
21.9,0
56.1,0
58.6,0
33.9,0
59.2,0
30.8,0
26.9,1
47.3,0
39.0,0
12.8,1
31.4,0
2.0,1
52.7,0
33.0,0
3.7,1
56.3,0
60.0,0
44.5,1
26.4,0
35.9,0
1.6,1
7.4,1
20.5,1
25.3,1
45.6,0
11.1,1
7.9,1
42.2,0
53.4,0
52.9,0
44.8,0
59.0,0
31.8,0
46.7,0
25.6,1
21.8,1
54.7,0
26.4,0
45.0,0
30.3,0
7.6,0
8.5,1
31.1,0
42.8,0
44.8,0
20.8,0
1.5,1
32.5,0
12.2,1
19.9,0
34.4,1
24.1,0
28.1,1
4.0,0
11.8,1
50.7,0
31.2,0
53.2,0
51.6,0
12.4,1
24.6,1
32.0,0
6.8,1
6.0,1
50.6,0
49.8,0
23.6,0
42.7,0
31.6,0
45.1,0
19.6,1
29.0,1
53.7,0
49.2,0
19.3,1
53.0,0
24.5,1
41.3,0
43.0,0
24.7,0
49.8,0
28.5,0
57.7,0
56.3,0
54.1,0
54.6,0
9.7,1
39.3,1
44.7,1
32.2,1
32.2,1
12.9,1
10.5,0
47.2,0
9.8,1
44.0,0
5.5,1
25.3,1
2.4,1
40.0,1
18.3,0
28.6,0
17.9,1
31.4,1
39.8,0
10.8,1
46.8,1
47.2,1
56.6,0
23.5,0
52.5,0
6.5,1
59.6,0
13.5,1
23.1,1
6.5,1
50.3,0
29.7,1
57.8,0
9.5,1
53.6,0
22.2,1
14.9,1
39.8,0
2.8,1
32.0,0
28.9,0
3.9,1
26.6,1
19.0,0
15.7,1
55.9,0
36.3,0
10.1,1
45.7,0
22.8,0
36.3,0
23.4,0
38.7,1
41.2,0
17.7,0
50.0,0
37.5,0
36.7,0
13.9,1
16.0,1
24.3,0
3.0,1
4.2,1
40.1,1
19.7,0
43.5,0
5.4,1
44.7,1
13.6,1
52.3,0
54.5,0
41.7,0
24.3,1
2.5,1
45.9,0
34.2,1
5.9,1
34.7,0
1.4,1
27.6,0
37.2,1
48.4,0
18.1,1
14.7,1
20.5,1
4.5,1
56.0,0
53.0,0
36.5,0
5.4,1
5.9,1
56.0,0
8.4,1
9.6,1
47.3,0
18.8,1
25.3,0
25.2,1
42.3,0
28.9,0
48.9,0
30.3,0
18.1,0
12.5,1
45.5,0
14.0,1
36.9,0
36.5,0
57.8,0
6.3,1
13.2,0
40.0,0
20.5,1
8.6,1
53.8,0
44.2,0
14.1,1
6.6,1
50.7,0
34.6,0
55.8,0
31.5,0
14.6,1
8.9,1
25.7,1
41.4,1
1.3,1
24.3,0
24.8,1
40.6,0
12.5,1
52.7,0
20.2,1
49.8,0
49.8,0
53.2,1
16.3,1
50.6,0
14.6,0
24.6,1
11.5,1
29.6,1
5.4,1
57.5,0
1.8,1
30.3,1
50.4,0
8.8,1
36.2,0
32.3,0
45.7,0
42.2,0
49.7,0
47.8,0
35.4,0
21.6,1
7.3,1
10.7,1
52.4,0
16.7,0
53.7,0
19.1,0
4.4,1
18.1,1
23.7,1
7.1,1
26.4,0
48.1,0
25.4,0
30.1,0
59.9,0
13.7,1
33.1,0
59.3,0
30.2,1
35.9,0
33.3,0
7.8,1
43.3,0
54.8,0
55.7,0
35.6,1
21.8,1
40.9,1
56.7,0
58.7,0
17.7,1
56.2,0
44.1,0
52.4,0
10.9,1
58.6,0
45.5,0
10.8,1
32.9,0
7.6,1
43.8,0
36.1,0
35.1,1
51.0,0
46.4,0
6.4,1
46.0,0
32.9,0
12.1,1
21.5,1
31.0,1
51.7,0
53.0,0
7.0,1
27.1,0
50.8,0
36.5,0
51.5,0
36.2,1
14.2,1
30.7,1
31.4,0
53.8,0
22.0,1
14.9,1
45.2,1
25.8,1
29.6,0
58.6,0
40.8,0
40.6,1
56.1,0
43.3,0
57.3,0
38.4,0
35.7,0
17.8,1
14.6,1
32.4,0
4.5,1
10.9,1
42.8,0
41.1,1
2.7,1
10.6,1
37.5,0
25.1,0
35.7,0
8.6,0
51.9,0
16.3,1
23.1,1
27.5,1
36.0,0
58.9,0
13.4,1
10.6,1
9.6,1
46.7,0
23.6,1
55.7,0
4.9,1
