income_usd,loan_amount_usd,credit_score,months_employed,high_risk
2804.36,29395.67,606,29.9,1
3029.86,6630.96,822,145.5,0
5834.51,39339.15,411,86.4,1
4154.31,37688.69,762,78.0,1
1721.22,15559.09,720,173.5,0
4257.88,18469.99,666,35.6,1
570.34,16976.62,508,272.7,0
4595.08,20659.74,776,97.3,1
2219.86,11473.12,833,22.2,0
4236.97,7249.57,511,69.9,1
5754.55,37636.56,529,108.8,1
5939.97,27168.34,704,121.0,0
3552.64,39448.76,588,3.7,1
884.02,28231.44,413,56.4,0
839.74,13665.11,789,160.3,0
1991.91,32239.93,671,80.5,0
1018.35,10489.34,542,106.9,0
2083.23,39953.01,526,202.5,0
5370.81,15985.1,646,223.8,1
2190.91,17239.7,469,161.4,1
2311.66,27965.97,640,125.9,0
5070.63,12886.68,364,127.6,1
4685.16,18345.02,515,89.0,0
2274.53,14599.76,744,297.2,0
3263.04,1927.52,376,38.3,0
3580.61,23922.22,685,240.0,0
4475.87,23451.55,692,89.6,1
1236.7,14621.35,707,258.6,0
4644.12,15464.24,317,280.6,1
1033.93,2484.47,754,187.2,0
3729.11,13042.48,443,250.8,0
5698.63,29734.96,395,258.5,1
1442.95,20146.18,357,96.7,1
4760.1,8217.17,628,27.7,0
2652.65,6166.33,694,288.2,0
1781.57,19807.16,650,221.4,1
3325.29,19412.19,807,261.9,0
1548.04,18945.91,512,2.5,1
2948.64,24009.42,356,232.4,1
3722.69,14612.48,460,232.5,0
4739.34,16386.23,408,222.7,1
4976.85,13823.81,696,298.6,1
5386.11,25289.89,725,278.0,0
3173.69,2332.13,564,266.9,0
5529.64,28445.98,444,109.2,1
5428.8,32293.62,550,52.4,1
3187.88,15264.24,668,133.8,0
1102.38,2158.42,393,4.3,1
2505.64,28428.64,588,182.9,0
4601.95,25747.04,430,98.9,0
3582.29,30386.48,721,1.6,1
1529.91,6458.15,589,282.6,0
5236.36,23298.35,567,126.4,1
4052.53,16035.45,583,258.4,0
1206.59,3428.11,489,165.1,1
5010.6,25763.4,769,114.6,0
3330.49,20710.81,312,64.9,1
2466.48,32386.07,447,215.5,1
3380.16,14721.37,472,59.1,1
3471.19,16934.14,399,280.6,0
5879.3,11132.43,677,250.1,0
4265.18,20026.86,314,164.4,1
2005.17,19532.97,635,218.9,0
2793.76,3779.08,707,69.3,0
1115.37,38396.33,451,147.8,1
2452.18,33101.23,451,223.2,1
4940.54,34123.46,550,79.5,1
2723.48,20081.13,486,118.4,0
4952.9,15737.61,448,283.6,1
2231.99,29252.98,655,131.5,0
3926.54,39526.73,450,35.7,1
904.38,30464.04,682,102.1,1
1234.85,4559.36,502,65.5,0
2748.42,32226.94,763,0.5,0
5542.22,18733.88,821,288.5,0
4415.94,1486.05,706,123.6,1
1711.97,10919.4,492,136.0,0
2136.4,36318.01,631,11.2,1
746.69,20006.24,727,108.5,0
4027.71,30114.39,498,27.8,1
5709.78,18203.93,600,18.1,1
4032.41,1306.42,368,167.6,1
4655.0,24610.86,567,270.1,0
2588.74,12026.28,526,75.8,0
4790.34,6418.85,452,159.2,0
3193.15,27758.1,424,127.2,1
4406.43,24851.39,365,189.3,1
1922.74,10644.35,348,276.0,0
4375.97,2839.61,311,46.3,1
1785.5,32795.03,362,180.6,1
2346.87,28206.9,835,262.6,0
2064.45,5987.62,395,177.7,1
2908.58,31516.54,513,98.3,1
1685.07,16037.68,844,19.8,0
3822.73,31613.98,521,161.9,1
4050.93,34443.53,776,155.2,0
1752.57,7117.73,445,117.7,0
4744.45,19771.73,826,102.3,0
4152.57,30960.07,543,24.1,0
5770.3,38320.26,665,104.9,0
5260.84,26873.41,476,168.1,1
5706.62,26529.96,413,286.8,1
5570.48,38276.15,408,251.6,1
5483.64,5940.21,430,100.4,0
5910.5,25005.15,601,255.3,0
5754.68,28661.26,609,128.7,1
2461.02,16017.11,684,92.8,0
1228.61,23879.18,519,142.4,0
5616.25,18526.88,374,102.2,1
2220.06,3728.64,641,91.2,0
5260.13,15986.43,361,244.1,0
5975.56,1068.48,819,172.3,0
3916.57,28947.19,718,292.0,0
2075.7,35831.18,615,197.2,0
4152.14,7966.32,360,291.4,0
5147.2,35691.0,558,158.4,1
1436.39,10636.34,384,171.0,1
5323.85,2032.17,838,297.0,0
4453.11,13436.81,529,260.6,0
5577.57,18226.21,661,89.6,0
2402.12,33741.42,363,114.0,1
5507.01,23467.94,535,230.2,1
1512.94,4272.72,390,160.0,0
4493.89,9221.05,617,11.9,1
5620.11,29275.32,839,294.8,0
3537.37,20185.99,539,154.3,0
1328.3,24677.74,689,66.5,0
5788.07,6583.69,348,207.6,0
3729.81,23620.79,437,243.3,1
2014.45,13467.46,368,103.8,1
5558.02,2853.3,398,213.2,1
5045.83,15540.62,389,79.6,1
5660.93,24087.21,654,239.8,0
4059.04,23569.76,554,141.1,0
1703.39,12949.98,617,91.0,0
3790.59,18760.75,636,4.0,1
3294.46,13789.27,484,102.1,1
3292.16,19374.51,768,23.3,0
578.93,31725.94,586,114.5,1
1915.07,25804.09,780,171.8,0
1981.37,18340.96,735,210.2,0
984.25,7983.35,686,117.0,0
2582.93,9864.23,578,179.7,0
2968.24,30489.18,758,147.2,1
4272.97,12229.82,675,229.9,0
3358.07,28230.87,710,176.3,1
2995.75,6752.53,334,131.4,0
1304.14,6514.96,518,191.6,0
1798.24,33900.64,661,87.3,1
2261.59,26532.41,339,272.6,1
1316.72,6701.8,578,271.0,0
1914.57,36386.98,596,70.0,0
2723.08,34169.61,442,211.8,1
1768.43,22554.26,460,39.2,0
1903.43,15416.9,700,190.9,0
4810.24,9671.1,344,299.0,1
2494.91,14222.58,305,200.1,1
2603.23,28151.59,812,157.8,0
4801.62,8941.27,691,103.4,1
4725.31,30383.44,606,297.3,1
4440.12,38932.27,724,113.3,0
3697.03,29427.0,446,115.0,1
848.04,4028.77,676,149.7,0
5230.11,10875.13,627,228.0,1
3948.15,5621.49,464,32.1,1
5671.85,23865.22,460,80.7,1
1496.01,10775.79,567,173.4,0
1143.27,12802.14,348,56.3,0
5461.7,2118.51,694,158.3,0
2234.28,25972.94,803,194.1,0
5778.78,27832.05,798,71.6,0
4659.5,22835.72,623,82.1,1
1737.29,5165.6,416,194.8,0
3946.23,28341.89,304,129.4,0
2377.4,37213.99,599,112.3,1
5012.12,36299.36,436,278.7,1
4038.01,38725.32,458,187.3,1
4511.57,35054.76,665,66.4,1
2074.54,28641.55,367,65.8,1
620.95,7868.16,631,177.8,0
2772.31,39927.08,710,171.5,0
4443.08,9554.93,318,52.6,1
5518.22,16003.58,608,30.9,1
2194.02,37656.67,696,87.7,1
3024.14,39781.28,538,272.8,0
5348.83,13091.89,465,237.5,1
1880.87,37609.25,386,269.9,1
4246.27,7327.12,825,198.8,0
5358.49,10159.46,524,243.1,0
3967.04,3390.67,407,293.3,0
1136.11,27862.66,327,237.1,1
4087.57,3841.98,428,77.4,1
728.78,22609.57,755,17.5,1
2049.65,18087.79,401,237.1,1
5363.94,13003.47,668,284.4,0
4428.53,29406.3,804,96.0,0
1683.1,25980.32,511,191.6,1
4304.25,14838.15,591,66.3,1
3654.79,9323.37,385,190.8,0
4949.62,33528.83,425,21.4,1
4196.61,26295.43,512,38.8,1
5040.14,39309.66,675,248.7,1
4512.99,8558.49,566,184.6,0
954.68,38634.44,767,215.8,0
3106.57,38041.52,711,111.1,0
836.62,36808.68,612,259.9,1
2071.99,17519.42,538,89.0,0
2045.04,31574.66,607,41.2,1
3074.9,19949.0,538,49.3,1
2310.92,32975.12,557,42.1,0
1777.55,11280.38,467,209.6,0
5229.94,30703.69,394,298.0,1
798.48,7297.78,830,158.5,0
3046.05,12430.84,326,80.3,0
4042.45,17652.27,327,7.1,1
1547.51,6842.58,360,235.2,0
3016.09,11754.29,519,54.0,1
2380.85,28891.7,580,210.1,0
5243.06,28750.43,467,82.0,1
777.94,33625.79,709,232.8,0
834.22,36420.44,498,187.7,1
3087.54,11005.71,367,132.0,1
4393.38,30005.19,535,79.2,1
5303.04,7092.95,544,176.7,1
3289.41,27380.47,579,208.2,1
5806.26,1718.81,463,10.7,1
4189.61,2444.2,526,91.9,0
5739.96,33612.51,491,227.1,1
